Column,article,Non_self_referencial_link,volume,pre_link_text,link_text,clean_link_text_not_article,DOI_for_article,linkDOI,citationCount,Date,dateYear
11,S0022285203002935.xml,False,223,r-34Oxygen-18Journal of Molecular Spectroscopy 223 (2004) 84-95. doi:10.1016j.jms.2003.09.010journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522231200484-95849510.1016j.jms.2003.09.010http,http://dx.doi.org/10.1016/j.jms.2003.09.010doi:10.1016/j.jms.2003.09.010JournalsS300.1,,10.1016/j.jms.2003.09.010,https://dx.doi.org/10.1016/j.jms.2003.09.010,7,2004-01-00,2004
12,S0022285203002947.xml,False,223,-referenceJournal of Molecular Spectroscopy 223 (2004) 96-100. doi:10.1016j.jms.2003.09.012journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522231200496-1009610010.1016j.jms.2003.09.012http,http://dx.doi.org/10.1016/j.jms.2003.09.012doi:10.1016/j.jms.2003.09.012JournalsS300.1,,10.1016/j.jms.2003.09.012,https://dx.doi.org/10.1016/j.jms.2003.09.012,3,2004-01-00,2004
13,S0022285203002959.xml,False,223,BÃƒÆ’Ã‚Â¼rgerJournal of Molecular Spectroscopy 223 (2004) 108-109. doi:10.1016j.jms.2003.10.001journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222312004108-10910810910.1016j.jms.2003.10.001http,http://dx.doi.org/10.1016/j.jms.2003.10.001doi:10.1016/j.jms.2003.10.001JournalsS300.1,,10.1016/j.jms.2003.10.001,https://dx.doi.org/10.1016/j.jms.2003.10.001,0,2004-01-00,2004
14,S0022285203002960.xml,False,223, GranerJournal of Molecular Spectroscopy 223 (2004) 110-110. doi:10.1016j.jms.2003.10.002journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222312004110-11011011010.1016j.jms.2003.10.002http,http://dx.doi.org/10.1016/j.jms.2003.10.002doi:10.1016/j.jms.2003.10.002JournalsS300.1,,10.1016/j.jms.2003.10.002,https://dx.doi.org/10.1016/j.jms.2003.10.002,0,2004-01-00,2004
15,S0022285203002996.xml,False,223,SergeevJournal of Molecular Spectroscopy 223 (2004) 106-107. doi:10.1016j.jms.2003.10.003journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222312004106-10710610710.1016j.jms.2003.10.003http,http://dx.doi.org/10.1016/j.jms.2003.10.003doi:10.1016/j.jms.2003.10.003JournalsS300.1,,10.1016/j.jms.2003.10.003,https://dx.doi.org/10.1016/j.jms.2003.10.003,2,2004-01-00,2004
16,S002228520300300X.xml,False,223, MillerJournal of Molecular Spectroscopy 223 (2004) 101-105. doi:10.1016j.jms.2003.10.004journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222312004101-10510110510.1016j.jms.2003.10.004http,http://dx.doi.org/10.1016/j.jms.2003.10.004doi:10.1016/j.jms.2003.10.004JournalsS300.1,,10.1016/j.jms.2003.10.004,https://dx.doi.org/10.1016/j.jms.2003.10.004,4,2004-01-00,2004
17,S0022285203003011.xml,False,223,e fieldJournal of Molecular Spectroscopy 223 (2004) 113-119. doi:10.1016j.jms.2003.10.006journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222322004113-11911311910.1016j.jms.2003.10.006http,http://dx.doi.org/10.1016/j.jms.2003.10.006doi:10.1016/j.jms.2003.10.006JournalsS300.1,,10.1016/j.jms.2003.10.006,https://dx.doi.org/10.1016/j.jms.2003.10.006,0,2004-02-00,2004
18,S0022285203003023.xml,False,223,ÃƒÅ½Ã‚Â stateJournal of Molecular Spectroscopy 223 (2004) 120-124. doi:10.1016j.jms.2003.10.005journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222322004120-12412012410.1016j.jms.2003.10.005http,http://dx.doi.org/10.1016/j.jms.2003.10.005doi:10.1016/j.jms.2003.10.005JournalsS300.1,,10.1016/j.jms.2003.10.005,https://dx.doi.org/10.1016/j.jms.2003.10.005,1,2004-02-00,2004
19,S0022285203003035.xml,False,223,chwiejaJournal of Molecular Spectroscopy 223 (2004) 125-131. doi:10.1016j.jms.2003.10.007journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222322004125-13112513110.1016j.jms.2003.10.007http,http://dx.doi.org/10.1016/j.jms.2003.10.007doi:10.1016/j.jms.2003.10.007JournalsS300.1,,10.1016/j.jms.2003.10.007,https://dx.doi.org/10.1016/j.jms.2003.10.007,6,2004-02-00,2004
20,S0022285203003187.xml,False,223,abilityJournal of Molecular Spectroscopy 223 (2004) 166-180. doi:10.1016j.jms.2003.10.008journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222322004166-18016618010.1016j.jms.2003.10.008http,http://dx.doi.org/10.1016/j.jms.2003.10.008doi:10.1016/j.jms.2003.10.008JournalsS300.1,,10.1016/j.jms.2003.10.008,https://dx.doi.org/10.1016/j.jms.2003.10.008,2,2004-02-00,2004
21,S0022285203003199.xml,False,223,lecular Spectroscopy 223 (2004) 132-137. doi:10.1016j.jms.2003.10.009journalJournal of Molecular SpectroscopyCrown Copyright Ãƒâ€šÃ‚Â© 2003. Published by Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222322004132-13713213710.1016j.jms.2003.10.009http,http://dx.doi.org/10.1016/j.jms.2003.10.009doi:10.1016/j.jms.2003.10.009JournalsS300.1,,10.1016/j.jms.2003.10.009,https://dx.doi.org/10.1016/j.jms.2003.10.009,11,2004-02-00,2004
22,S0022285203003205.xml,False,223,ructureJournal of Molecular Spectroscopy 223 (2004) 138-147. doi:10.1016j.jms.2003.10.010journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222322004138-14713814710.1016j.jms.2003.10.010http,http://dx.doi.org/10.1016/j.jms.2003.10.010doi:10.1016/j.jms.2003.10.010JournalsS300.1,,10.1016/j.jms.2003.10.010,https://dx.doi.org/10.1016/j.jms.2003.10.010,1,2004-02-00,2004
23,S0022285203003229.xml,False,223,.C.L. GerryD.J. BrughR.D. SuenramJournal of Molecular Spectroscopy 223 (2004) 185-194. doi:10.1016j.jms.2003.11.003journalJournal of Molecular SpectroscopyPublished by Elsevier Inc.Elsevier Inc.0022-285222322004185-19418519410.1016j.jms.2003.11.003http,http://dx.doi.org/10.1016/j.jms.2003.11.003doi:10.1016/j.jms.2003.11.003JournalsS300.1,,10.1016/j.jms.2003.11.003,https://dx.doi.org/10.1016/j.jms.2003.11.003,14,2004-02-00,2004
24,S0022285203003242.xml,False,223, DaviesJournal of Molecular Spectroscopy 223 (2004) 181-184. doi:10.1016j.jms.2003.11.002journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222322004181-18418118410.1016j.jms.2003.11.002http,http://dx.doi.org/10.1016/j.jms.2003.11.002doi:10.1016/j.jms.2003.11.002JournalsS300.1,,10.1016/j.jms.2003.11.002,https://dx.doi.org/10.1016/j.jms.2003.11.002,6,2004-02-00,2004
25,S0022285203003321.xml,False,223,of Molecular Spectroscopy 223 (2004) iv-iv. doi:10.1016S0022-2852(03)00332-1journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Published by Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222312004iv-iviviv10.1016S0022-2852(03)00332-1http,http://dx.doi.org/10.1016/S0022-2852(03)00332-1doi:10.1016/S0022-2852(03)00332-1JournalsS300.1,,10.1016/S0022-2852(03)00332-1,https://dx.doi.org/10.1016/S0022-2852(03)00332-1,0,2004-01-00,2004
26,S0022285203003369.xml,False,223,ynamicsJournal of Molecular Spectroscopy 223 (2004) 195-204. doi:10.1016j.jms.2003.12.001journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222322004195-20419520410.1016j.jms.2003.12.001http,http://dx.doi.org/10.1016/j.jms.2003.12.001doi:10.1016/j.jms.2003.12.001JournalsS300.1,,10.1016/j.jms.2003.12.001,https://dx.doi.org/10.1016/j.jms.2003.12.001,0,2004-02-00,2004
27,S0022285203003400.xml,False,223,lisionsJournal of Molecular Spectroscopy 223 (2004) 205-213. doi:10.1016j.jms.2003.12.004journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222322004205-21320521310.1016j.jms.2003.12.004http,http://dx.doi.org/10.1016/j.jms.2003.12.004doi:10.1016/j.jms.2003.12.004JournalsS300.1,,10.1016/j.jms.2003.12.004,https://dx.doi.org/10.1016/j.jms.2003.12.004,6,2004-02-00,2004
28,S0022285203003370.xml,False,224,Systematic errorsJournal of Molecular Spectroscopy 224 (2004) 73-98. doi:10.1016j.jms.2003.12.010journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© unknown. Published by Elsevier Inc.Elsevier Inc.0022-28522241200473-98739810.1016j.jms.2003.12.010http,http://dx.doi.org/10.1016/j.jms.2003.12.010doi:10.1016/j.jms.2003.12.010JournalsS300.1,,10.1016/j.jms.2003.12.010,https://dx.doi.org/10.1016/j.jms.2003.12.010,2,2004-03-00,2004
29,S0022285203003382.xml,False,224,K WilkinsonA.W MantzJournal of Molecular Spectroscopy 224 (2004) 7-12. doi:10.1016j.jms.2003.12.002journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© unknown. Published by Elsevier Inc.Elsevier Inc.0022-2852224120047-1271210.1016j.jms.2003.12.002http,http://dx.doi.org/10.1016/j.jms.2003.12.002doi:10.1016/j.jms.2003.12.002JournalsS300.1,,10.1016/j.jms.2003.12.002,https://dx.doi.org/10.1016/j.jms.2003.12.002,1,2004-03-00,2004
30,S0022285203003394.xml,False,224,elsFTIRHalonsJournal of Molecular Spectroscopy 224 (2004) 13-17. doi:10.1016j.jms.2003.12.003journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522241200413-17131710.1016j.jms.2003.12.003http,http://dx.doi.org/10.1016/j.jms.2003.12.003doi:10.1016/j.jms.2003.12.003JournalsS300.1,,10.1016/j.jms.2003.12.003,https://dx.doi.org/10.1016/j.jms.2003.12.003,1,2004-03-00,2004
31,S0022285203003412.xml,False,224,topic effectsJournal of Molecular Spectroscopy 224 (2004) 32-60. doi:10.1016j.jms.2003.12.005journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522241200432-60326010.1016j.jms.2003.12.005http,http://dx.doi.org/10.1016/j.jms.2003.12.005doi:10.1016/j.jms.2003.12.005JournalsS300.1,,10.1016/j.jms.2003.12.005,https://dx.doi.org/10.1016/j.jms.2003.12.005,22,2004-03-00,2004
32,S0022285203003424.xml,False,224,John A. CoxonJournal of Molecular Spectroscopy 224 (2004) 18-26. doi:10.1016j.jms.2003.12.006journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522241200418-26182610.1016j.jms.2003.12.006http,http://dx.doi.org/10.1016/j.jms.2003.12.006doi:10.1016/j.jms.2003.12.006JournalsS300.1,,10.1016/j.jms.2003.12.006,https://dx.doi.org/10.1016/j.jms.2003.12.006,4,2004-03-00,2004
33,S0022285203003436.xml,False,224,John A. CoxonJournal of Molecular Spectroscopy 224 (2004) 27-31. doi:10.1016j.jms.2003.12.007journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522241200427-31273110.1016j.jms.2003.12.007http,http://dx.doi.org/10.1016/j.jms.2003.12.007doi:10.1016/j.jms.2003.12.007JournalsS300.1,,10.1016/j.jms.2003.12.007,https://dx.doi.org/10.1016/j.jms.2003.12.007,4,2004-03-00,2004
34,S0022285203003448.xml,False,224,iOsamu OhashiJournal of Molecular Spectroscopy 224 (2004) 61-72. doi:10.1016j.jms.2003.12.008journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522241200461-72617210.1016j.jms.2003.12.008http,http://dx.doi.org/10.1016/j.jms.2003.12.008doi:10.1016/j.jms.2003.12.008JournalsS300.1,,10.1016/j.jms.2003.12.008,https://dx.doi.org/10.1016/j.jms.2003.12.008,2,2004-03-00,2004
35,S002228520300345X.xml,False,224,arbidesB3LYP methodJournal of Molecular Spectroscopy 224 (2004) 1-6. doi:10.1016j.jms.2003.12.009journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2003 Elsevier Inc. All rights reserved.Elsevier Inc.0022-2852224120041-61610.1016j.jms.2003.12.009http,http://dx.doi.org/10.1016/j.jms.2003.12.009doi:10.1016/j.jms.2003.12.009JournalsS300.1,,10.1016/j.jms.2003.12.009,https://dx.doi.org/10.1016/j.jms.2003.12.009,3,2004-03-00,2004
36,S0022285204000153.xml,False,224,leculesJournal of Molecular Spectroscopy 224 (2004) 131-136. doi:10.1016j.jms.2004.01.001journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004131-13613113610.1016j.jms.2004.01.001http,http://dx.doi.org/10.1016/j.jms.2004.01.001doi:10.1016/j.jms.2004.01.001JournalsS300.1,,10.1016/j.jms.2004.01.001,https://dx.doi.org/10.1016/j.jms.2004.01.001,1,2004-04-00,2004
37,S0022285204000165.xml,False,224,. BlakeJournal of Molecular Spectroscopy 224 (2004) 101-106. doi:10.1016j.jms.2004.01.002journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004101-10610110610.1016j.jms.2004.01.002http,http://dx.doi.org/10.1016/j.jms.2004.01.002doi:10.1016/j.jms.2004.01.002JournalsS300.1,,10.1016/j.jms.2004.01.002,https://dx.doi.org/10.1016/j.jms.2004.01.002,4,2004-04-00,2004
38,S0022285204000177.xml,False,224,rbationJournal of Molecular Spectroscopy 224 (2004) 137-144. doi:10.1016j.jms.2004.01.003journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004137-14413714410.1016j.jms.2004.01.003http,http://dx.doi.org/10.1016/j.jms.2004.01.003doi:10.1016/j.jms.2004.01.003JournalsS300.1,,10.1016/j.jms.2004.01.003,https://dx.doi.org/10.1016/j.jms.2004.01.003,7,2004-04-00,2004
39,S0022285204000189.xml,False,224,tensityJournal of Molecular Spectroscopy 224 (2004) 114-130. doi:10.1016j.jms.2004.01.004journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004114-13011413010.1016j.jms.2004.01.004http,http://dx.doi.org/10.1016/j.jms.2004.01.004doi:10.1016/j.jms.2004.01.004JournalsS300.1,,10.1016/j.jms.2004.01.004,https://dx.doi.org/10.1016/j.jms.2004.01.004,9,2004-04-00,2004
40,S0022285204000190.xml,False,224,DruckerJournal of Molecular Spectroscopy 224 (2004) 188-193. doi:10.1016j.jms.2004.01.008journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004188-19318819310.1016j.jms.2004.01.008http,http://dx.doi.org/10.1016/j.jms.2004.01.008doi:10.1016/j.jms.2004.01.008JournalsS300.1,,10.1016/j.jms.2004.01.008,https://dx.doi.org/10.1016/j.jms.2004.01.008,1,2004-04-00,2004
41,S0022285204000207.xml,False,224,c bandsJournal of Molecular Spectroscopy 224 (2004) 145-150. doi:10.1016j.jms.2004.01.005journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004145-15014515010.1016j.jms.2004.01.005http,http://dx.doi.org/10.1016/j.jms.2004.01.005doi:10.1016/j.jms.2004.01.005JournalsS300.1,,10.1016/j.jms.2004.01.005,https://dx.doi.org/10.1016/j.jms.2004.01.005,0,2004-04-00,2004
42,S0022285204000219.xml,False,224,ion spectraJournal of Molecular Spectroscopy 224 (2004) 107-113. doi:10.1016j.jms.2004.01.006journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© unknown. Published by Elsevier Inc.Elsevier Inc.0022-285222422004107-11310711310.1016j.jms.2004.01.006http,http://dx.doi.org/10.1016/j.jms.2004.01.006doi:10.1016/j.jms.2004.01.006JournalsS300.1,,10.1016/j.jms.2004.01.006,https://dx.doi.org/10.1016/j.jms.2004.01.006,0,2004-04-00,2004
43,S0022285204000244.xml,False,224,lationsJournal of Molecular Spectroscopy 224 (2004) 151-156. doi:10.1016j.jms.2004.01.009journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004151-15615115610.1016j.jms.2004.01.009http,http://dx.doi.org/10.1016/j.jms.2004.01.009doi:10.1016/j.jms.2004.01.009JournalsS300.1,,10.1016/j.jms.2004.01.009,https://dx.doi.org/10.1016/j.jms.2004.01.009,7,2004-04-00,2004
44,S0022285204000256.xml,False,224,rrowingJournal of Molecular Spectroscopy 224 (2004) 164-175. doi:10.1016j.jms.2004.01.011journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004164-17516417510.1016j.jms.2004.01.011http,http://dx.doi.org/10.1016/j.jms.2004.01.011doi:10.1016/j.jms.2004.01.011JournalsS300.1,,10.1016/j.jms.2004.01.011,https://dx.doi.org/10.1016/j.jms.2004.01.011,10,2004-04-00,2004
45,S0022285204000268.xml,False,224,ametersJournal of Molecular Spectroscopy 224 (2004) 157-163. doi:10.1016j.jms.2004.01.010journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004157-16315716310.1016j.jms.2004.01.010http,http://dx.doi.org/10.1016/j.jms.2004.01.010doi:10.1016/j.jms.2004.01.010JournalsS300.1,,10.1016/j.jms.2004.01.010,https://dx.doi.org/10.1016/j.jms.2004.01.010,4,2004-04-00,2004
46,S002228520400027X.xml,False,224,l agentJournal of Molecular Spectroscopy 224 (2004) 176-184. doi:10.1016j.jms.2004.01.012journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004176-18417618410.1016j.jms.2004.01.012http,http://dx.doi.org/10.1016/j.jms.2004.01.012doi:10.1016/j.jms.2004.01.012JournalsS300.1,,10.1016/j.jms.2004.01.012,https://dx.doi.org/10.1016/j.jms.2004.01.012,6,2004-04-00,2004
47,S0022285204000359.xml,False,224, FusinaJournal of Molecular Spectroscopy 224 (2004) 194-195. doi:10.1016j.jms.2004.01.013journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004194-19519419510.1016j.jms.2004.01.013http,http://dx.doi.org/10.1016/j.jms.2004.01.013doi:10.1016/j.jms.2004.01.013JournalsS300.1,,10.1016/j.jms.2004.01.013,https://dx.doi.org/10.1016/j.jms.2004.01.013,2,2004-04-00,2004
48,S0022285204000402.xml,False,224,tensityJournal of Molecular Spectroscopy 224 (2004) 185-187. doi:10.1016j.jms.2004.02.003journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-285222422004185-18718518710.1016j.jms.2004.02.003http,http://dx.doi.org/10.1016/j.jms.2004.02.003doi:10.1016/j.jms.2004.02.003JournalsS300.1,,10.1016/j.jms.2004.02.003,https://dx.doi.org/10.1016/j.jms.2004.02.003,9,2004-04-00,2004
49,S0022285204000220.xml,False,225, calculationsJournal of Molecular Spectroscopy 225 (2004) 93-95. doi:10.1016j.jms.2004.01.007journalJournal of Molecular SpectroscopyCopyright Ãƒâ€šÃ‚Â© 2004 Elsevier Inc. All rights reserved.Elsevier Inc.0022-28522251200493-95939510.1016j.jms.2004.01.007http,http://dx.doi.org/10.1016/j.jms.2004.01.007doi:10.1016/j.jms.2004.01.007JournalsS300.1,,10.1016/j.jms.2004.01.007,https://dx.doi.org/10.1016/j.jms.2004.01.007,7,2004-05-00,2004
